"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2024-10-12,2024-10-13,"Frauenfeld, Bahnhofstrasse","9.55","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-13,2024-10-14,"Konstanz, Wallgutstrasse","4","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-13,2024-10-14,"Frauenfeld, Bahnhofstrasse","6.56","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-14,2024-10-15,"Konstanz, Wallgutstrasse","7","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-15,2024-10-16,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-15,2024-10-16,"Frauenfeld, Bahnhofstrasse","13.34","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-16,2024-10-17,"Konstanz, Wallgutstrasse","7","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-16,2024-10-17,"Weinfelden, Berufsbildungszentrum","11.57","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-10-16,2024-10-17,"Frauenfeld, Bahnhofstrasse","11.46","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-17,2024-10-18,"Konstanz, Wallgutstrasse","13","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-17,2024-10-18,"Frauenfeld, Bahnhofstrasse","14.28","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-18,2024-10-19,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-18,2024-10-19,"Frauenfeld, Bahnhofstrasse","13.05","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-19,2024-10-20,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-19,2024-10-20,"Frauenfeld, Bahnhofstrasse","13.61","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-20,2024-10-21,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-20,2024-10-21,"Weinfelden, Berufsbildungszentrum","15.93","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-10-20,2024-10-21,"Frauenfeld, Bahnhofstrasse","15.24","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-21,2024-10-22,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-21,2024-10-22,"Frauenfeld, Bahnhofstrasse","13.84","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-22,2024-10-23,"Konstanz, Wallgutstrasse","10","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-22,2024-10-23,"Frauenfeld, Bahnhofstrasse","15.13","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-23,2024-10-24,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-23,2024-10-24,"Frauenfeld, Bahnhofstrasse","8.17","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-24,2024-10-25,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-24,2024-10-25,"Weinfelden, Berufsbildungszentrum","11.6","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-10-24,2024-10-25,"Frauenfeld, Bahnhofstrasse","11.42","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-10-25,2024-10-26,"Konstanz, Wallgutstrasse","14","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-10-25,2024-10-26,"Frauenfeld, Bahnhofstrasse","8.56","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
