"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2001-04-01,2001-05-01,"Arbon, Stadthaus","14.96","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-05-01,2001-06-01,"Konstanz, Wallgutstrasse","21.84","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-05-01,2001-06-01,"Frauenfeld, Bahnhofstrasse","21.12","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-05-01,2001-06-01,"Arbon, Stadthaus","21.94","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-06-01,2001-07-01,"Konstanz, Wallgutstrasse","14.93","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-06-01,2001-07-01,"Frauenfeld, Bahnhofstrasse","15.81","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-06-01,2001-07-01,"Arbon, Stadthaus","15.66","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-07-01,2001-08-01,"Konstanz, Wallgutstrasse","16.87","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-07-01,2001-08-01,"Frauenfeld, Bahnhofstrasse","17.13","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-07-01,2001-08-01,"Arbon, Stadthaus","16.60","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-08-01,2001-09-01,"Konstanz, Wallgutstrasse","20.00","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-08-01,2001-09-01,"Frauenfeld, Bahnhofstrasse","23.21","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-08-01,2001-09-01,"Arbon, Stadthaus","20.81","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-09-01,2001-10-01,"Konstanz, Wallgutstrasse","14.40","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-09-01,2001-10-01,"Frauenfeld, Bahnhofstrasse","15.09","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-09-01,2001-10-01,"Arbon, Stadthaus","16.79","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-10-01,2001-11-01,"Konstanz, Wallgutstrasse","26.45","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-10-01,2001-11-01,"Frauenfeld, Bahnhofstrasse","27.30","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-10-01,2001-11-01,"Arbon, Stadthaus","29.67","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-11-01,2001-12-01,"Konstanz, Wallgutstrasse","22.97","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-11-01,2001-12-01,"Frauenfeld, Bahnhofstrasse","23.55","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-11-01,2001-12-01,"Arbon, Stadthaus","19.72*","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2001-12-01,2002-01-01,"Konstanz, Wallgutstrasse","20.71","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2001-12-01,2002-01-01,"Frauenfeld, Bahnhofstrasse","23.19","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2001-12-01,2002-01-01,"Arbon, Stadthaus","22.95","66e47572-5502-422e-ac00-6dc49059b28d","Feinstaub PM10 (HVS)"
2002-01-01,2002-02-01,"Konstanz, Wallgutstrasse","39.42","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2002-01-01,2002-02-01,"Frauenfeld, Bahnhofstrasse","44.46","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2002-02-01,2002-03-01,"Konstanz, Wallgutstrasse","23.04","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2002-02-01,2002-03-01,"Frauenfeld, Bahnhofstrasse","22.28","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2002-03-01,2002-04-01,"Konstanz, Wallgutstrasse","32.29","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2002-03-01,2002-04-01,"Frauenfeld, Bahnhofstrasse","30.51","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2002-04-01,2002-05-01,"Konstanz, Wallgutstrasse","30.47","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2002-04-01,2002-05-01,"Frauenfeld, Bahnhofstrasse","28.94","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
