"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2024-08-28 16:00:00,2024-08-29 16:00:00,"Konstanz, Wallgutstrasse","14.98","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-28 16:00:00,2024-08-29 16:00:00,"Weinfelden, Berufsbildungszentrum","17.98","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-29 16:00:00,2024-08-30 16:00:00,"Konstanz, Wallgutstrasse","16.73","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-29 16:00:00,2024-08-30 16:00:00,"Weinfelden, Berufsbildungszentrum","17.25","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-30 16:00:00,2024-08-31 16:00:00,"Konstanz, Wallgutstrasse","18.41","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-30 16:00:00,2024-08-31 16:00:00,"Weinfelden, Berufsbildungszentrum","19.59","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-31 16:00:00,2024-09-01 16:00:00,"Konstanz, Wallgutstrasse","23.26","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-31 16:00:00,2024-09-01 16:00:00,"Weinfelden, Berufsbildungszentrum","22.69","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-01 16:00:00,2024-09-02 16:00:00,"Konstanz, Wallgutstrasse","10.06","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-01 16:00:00,2024-09-02 16:00:00,"Weinfelden, Berufsbildungszentrum","12.5","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-02 16:00:00,2024-09-03 16:00:00,"Konstanz, Wallgutstrasse","12.43","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-02 16:00:00,2024-09-03 16:00:00,"Weinfelden, Berufsbildungszentrum","15.26","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-03 16:00:00,2024-09-04 16:00:00,"Konstanz, Wallgutstrasse","10.37","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-03 16:00:00,2024-09-04 16:00:00,"Weinfelden, Berufsbildungszentrum","11.95","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-04 16:00:00,2024-09-05 16:00:00,"Konstanz, Wallgutstrasse","11.29","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-04 16:00:00,2024-09-05 16:00:00,"Weinfelden, Berufsbildungszentrum","14.39","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-05 16:00:00,2024-09-06 16:00:00,"Konstanz, Wallgutstrasse","3.56","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-05 16:00:00,2024-09-06 16:00:00,"Weinfelden, Berufsbildungszentrum","5.47","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-06 16:00:00,2024-09-07 16:00:00,"Konstanz, Wallgutstrasse","8.26","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-06 16:00:00,2024-09-07 16:00:00,"Weinfelden, Berufsbildungszentrum","10.05","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-09-07 16:00:00,2024-09-08 16:00:00,"Konstanz, Wallgutstrasse","9.26","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-09-07 16:00:00,2024-09-08 16:00:00,"Weinfelden, Berufsbildungszentrum","10.31","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
